Method,Name,Error,Occurrences
POST,/api/upload/image [POST],HTTPError('400 Client Error: Bad Request for url: /api/upload/image [POST]'),4
PUT,/api/events/{id} [PUT],HTTPError('500 Server Error: Internal Server Error for url: /api/events/{id} [PUT]'),11
