Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,26,0,7,38.31114615324903,5.23300000349991,444.5941000012681,90871.0,0.4431669952703061,0.0,7,8,14,20,110,150,440,440,440,440,440
POST,/api/ai/parse [POST],7,0,30000,30222.72972857588,7446.696600003634,53194.24979999894,215.57142857142858,0.11931419103431319,0.0,30000,31000,47000,47000,53000,53000,53000,53000,53000,53000,53000
GET,/api/checklists,9,0,5,7.035811109946938,3.460399995674379,16.601299998001195,1317.0,0.15340395990125982,0.0,5,6,7,13,17,17,17,17,17,17,17
GET,/api/checklists/1/lock,12,12,2100,2614.0686750004534,2079.7978000045987,3267.8547999967122,22.0,0.20453861320167974,0.20453861320167974,2900,2900,3200,3200,3300,3300,3300,3300,3300,3300,3300
PUT,/api/doc/{id}/lock [PUT heartbeat],12,12,2100,2404.7983416652037,7.84879999991972,3270.7212999957846,22.0,0.20453861320167974,0.20453861320167974,2300,2900,3300,3300,3300,3300,3300,3300,3300,3300,3300
GET,/api/events,29,0,7,12.518934484025271,5.4829000000609085,76.14779999130405,8145.068965517241,0.49430164857072606,0.0,7,9,14,19,24,24,76,76,76,76,76
POST,/api/events [POST],103,0,10,23.111496116311596,4.2474000074435025,721.7145000031451,10.689320388349515,1.755623096647751,0.0,10,12,15,16,37,71,77,99,720,720,720
DELETE,/api/events/{id} [DELETE],101,0,2100,2186.474409899536,2051.180900001782,3311.549499994726,11.0,1.7215333277808045,0.0,2100,2100,2100,2100,2300,3200,3300,3300,3300,3300,3300
PUT,/api/events/{id} [PUT],103,103,8,13.679254369175025,4.164300000411458,165.89350000140257,21.0,1.755623096647751,1.755623096647751,8,10,13,15,29,37,48,75,170,170,170
GET,/api/kanban,33,0,7,15.393903029193593,3.707600000780076,113.39729999599513,9857.39393939394,0.5624811863046193,0.0,7,8,8,9,20,110,110,110,110,110,110
GET,/api/notifications/count,31,0,3200,3131.3493483870725,2928.6107000079937,3275.760899996385,11.0,0.5283914174376727,0.0,3200,3200,3200,3300,3300,3300,3300,3300,3300,3300,3300
GET,/api/notifications/pending,31,0,3200,3095.5859193537995,2329.347000006237,3276.030599998194,2.0,0.5283914174376727,0.0,3200,3200,3300,3300,3300,3300,3300,3300,3300,3300,3300
POST,/api/upload/image [POST],51,51,37,61.51426470622776,18.678099993849173,612.6612999942154,59.0,0.8692891061071389,0.8692891061071389,37,46,58,60,86,200,200,610,610,610,610
GET,/calendar,3,0,6,5.81876666789564,4.232799998135306,7.548900000983849,107750.0,0.051134653300419934,0.0,6,6,8,8,8,8,8,8,8,8,8
GET,/check,30,0,10,26.65407333455126,4.486799996811897,165.09800001222175,181520.0,0.5113465330041994,0.0,11,15,17,32,110,110,170,170,170,170,170
GET,/project-manage,25,0,8,25.09082399890758,5.028400002629496,196.1962999921525,164189.0,0.4261221108368328,0.0,8,11,17,18,100,110,200,200,200,200,200
GET,/trash,20,0,9,23.10008500207914,4.954900010488927,145.20270000502933,103953.0,0.34089768866946624,0.0,9,15,15,25,120,150,150,150,150,150,150
GET,[warmup] cookie check,25,0,2400,2381.404487998807,2333.2417999918107,2427.155199999106,164189.0,0.4261221108368328,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
,Aggregated,651,178,20,1161.2181548384958,3.460399995674379,53194.24979999894,29190.758832565283,11.096219766191126,3.0339894291582494,20,200,2100,2100,3100,3200,3300,7400,53000,53000,53000
