Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,31,0,7,1102.4335419356396,3.605200006859377,10401.715899992269,90871.0,0.5609015038161889,0.0,7,20,40,270,5700,6300,10000,10000,10000,10000,10000
GET,/api/checklists,17,0,13,1073.742094119285,4.220300004817545,10506.087800007663,1317.0,0.3075911472540391,0.0,13,20,34,330,5800,11000,11000,11000,11000,11000,11000
GET,/api/checklists/1/lock,26,26,4900,4962.870957693108,2559.114400006365,7455.48659999622,22.0,0.4704335193297068,0.4704335193297068,5000,5100,5100,5100,7400,7500,7500,7500,7500,7500,7500
PUT,/api/doc/{id}/lock [PUT heartbeat],26,26,4900,4965.0645461537915,2560.211399992113,7458.571399998618,22.0,0.4704335193297068,0.4704335193297068,5000,5100,5100,5100,7400,7400,7500,7500,7500,7500,7500
GET,/api/events,39,0,11,913.4599538471472,5.217300000367686,11999.89469999855,14785.102564102564,0.7056502789945602,0.0,11,21,260,300,5700,6700,12000,12000,12000,12000,12000
POST,/api/events [POST],149,0,9,73.33754899377557,5.013299989514053,2219.7527999960585,11.0,2.6959459376971657,0.0,9,13,17,28,130,200,2100,2200,2200,2200,2200
DELETE,/api/events/{id} [DELETE],138,0,2100,3613.8387927529275,2055.1891999930376,14135.697000005166,11.0,2.4969163718269054,0.0,2100,2700,5000,5200,5500,13000,14000,14000,14000,14000,14000
PUT,/api/events/{id} [PUT],149,149,9,37.69786442897983,5.490399998961948,334.36549999169074,21.0,2.6959459376971657,2.6959459376971657,9,12,16,26,150,160,270,310,330,330,330
GET,/api/kanban,54,0,9,779.8525000005072,4.015899990918115,12067.00510000519,16357.0,0.9770542324540065,0.0,10,17,240,300,4200,5300,5600,12000,12000,12000,12000
GET,/api/notifications/count,63,0,5000,4729.489495237229,2556.223499996122,5117.111399988062,11.0,1.1398966045296741,0.0,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
GET,/api/notifications/pending,63,0,5000,4751.355812698002,2551.607499990496,5119.814599995152,2.0,1.1398966045296741,0.0,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100
POST,/api/upload/image [POST],63,63,34,641.1970317458904,18.128299998352304,12126.803200007998,59.0,1.1398966045296741,1.1398966045296741,34,46,58,120,1800,4900,5400,12000,12000,12000,12000
GET,/calendar,11,0,8,1437.1077818187505,4.25139999424573,6707.765600003768,107750.0,0.19902956587026058,0.0,8,300,4300,4300,4500,6700,6700,6700,6700,6700,6700
GET,/check,37,0,8,699.1044486486636,4.725200007669628,5468.593800003873,181520.0,0.6694630851999673,0.0,8,28,310,570,4200,5300,5500,5500,5500,5500,5500
GET,/project-manage,21,0,7,62.64326666825495,4.777599999215454,299.78919999848586,164189.0,0.3799655348432247,0.0,7,9,14,20,300,300,300,300,300,300,300
GET,/trash,26,0,7,210.15165769271195,4.672700000810437,4445.191499995417,103953.0,0.4704335193297068,0.0,7,14,18,24,260,290,4400,4400,4400,4400,4400
GET,[warmup] cookie check,50,0,2900,2928.2520259992452,2768.831900000805,3051.8115000013495,164189.0,0.9046798448648208,0.0,2900,3000,3000,3000,3000,3000,3100,3100,3100,3100,3100
,Aggregated,963,264,120,1802.805973312496,3.605200006859377,14135.697000005166,27593.914849428867,17.424133812096446,4.776709580886253,120,2100,3000,4900,5100,5300,7400,12000,14000,14000,14000
