Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10,0,6,5.85012999799801,4.4209000043338165,8.251799998106435,90871.0,0.16893012737125326,0.0,6,6,6,7,8,8,8,8,8,8,8
GET,/api/checklists,3,0,5,5.724266661369863,3.5136999940732494,8.65029999113176,1317.0,0.050679038211375975,0.0,5,5,9,9,9,9,9,9,9,9,9
GET,/api/checklists/1/lock,2,2,2100,2163.722149998648,2060.0475999963237,2267.3967000009725,22.0,0.03378602547425065,0.03378602547425065,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
PUT,/api/doc/{id}/lock [PUT heartbeat],2,2,6,1134.6603000056348,5.606200007605366,2263.714400003664,22.0,0.03378602547425065,0.03378602547425065,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/api/events,17,0,5,8.130064702366807,4.320099993492477,41.64390001096763,5141.941176470588,0.28718121653113055,0.0,5,7,7,7,11,42,42,42,42,42,42
POST,/api/events [POST],41,0,7,7.942326829013437,4.880099993897602,23.815400010789745,10.0,0.6926135222221383,0.0,7,8,8,9,10,10,24,24,24,24,24
DELETE,/api/events/{id} [DELETE],41,0,2100,2076.495678048714,2052.4606999970274,2271.755000008852,11.0,0.6926135222221383,0.0,2100,2100,2100,2100,2100,2100,2300,2300,2300,2300,2300
PUT,/api/events/{id} [PUT],41,41,5,5.373463414399317,3.966000003856607,8.113200005027466,21.0,0.6926135222221383,0.6926135222221383,5,6,6,6,7,7,8,8,8,8,8
GET,/api/kanban,16,0,4,4.850731250371609,3.746400005184114,8.705299987923354,5610.375,0.2702882037940052,0.0,5,5,5,5,7,9,9,9,9,9,9
GET,/api/notifications/count,6,0,2285.0451999984216,2272.0880500006992,2259.2885000049137,2285.0451999984216,11.0,0.10135807642275195,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/api/notifications/pending,6,0,2292.0714000065345,2272.50476667056,2263.2881000026828,2292.0714000065345,2.0,0.10135807642275195,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
POST,/api/upload/image [POST],22,22,5,5.51788181738547,3.9532999944640324,11.15209999261424,59.0,0.37164628021675716,0.37164628021675716,5,6,6,6,7,7,11,11,11,11,11
GET,/calendar,3,0,6,6.767366668403459,4.565399998682551,10.159800003748387,107750.0,0.050679038211375975,0.0,6,6,10,10,10,10,10,10,10,10,10
GET,/check,11,0,7,6.433518181438558,4.112599999643862,8.043400011956692,181520.0,0.18582314010837858,0.0,7,7,7,7,8,8,8,8,8,8,8
GET,/project-manage,15,0,5,6.869280001653048,4.287200004910119,27.982400002656505,164189.0,0.2533951910568799,0.0,5,6,6,6,10,28,28,28,28,28,28
GET,/trash,8,0,5,5.576112498602015,3.8197999965632334,7.660799994482659,103953.0,0.1351441018970026,0.0,6,6,7,7,8,8,8,8,8,8,8
GET,[warmup] cookie check,5,0,2128.831200010609,2140.7340800069505,2128.831200010609,2159.8445999989053,164189.0,0.08446506368562663,0.0,2100,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
,Aggregated,249,67,6,525.7103277106646,3.5136999940732494,2292.0714000065345,30234.538152610443,4.2063601715442065,1.1318318533873968,6,8,28,2100,2100,2300,2300,2300,2300,2300,2300
