Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/events [POST],1,0,22.312500004773028,22.312500004773028,22.312500004773028,22.312500004773028,11.0,0.16037012301683967,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/api/events/{id} [DELETE],1,0,2100.5253000039374,2100.5253000039374,2100.5253000039374,2100.5253000039374,11.0,0.16037012301683967,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
PUT,/api/events/{id} [PUT],1,1,19.0394999954151,19.0394999954151,19.0394999954151,19.0394999954151,21.0,0.16037012301683967,0.16037012301683967,19,19,19,19,19,19,19,19,19,19,19
GET,/api/notifications/count,1,0,2109.8318999866024,2109.8318999866024,2109.8318999866024,2109.8318999866024,11.0,0.16037012301683967,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/notifications/pending,1,0,2099.7665999893798,2099.7665999893798,2099.7665999893798,2099.7665999893798,2.0,0.16037012301683967,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/check,1,0,45.71109999960754,45.71109999960754,45.71109999960754,45.71109999960754,179931.0,0.16037012301683967,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,[warmup] cookie check,1,0,2144.6734000055585,2144.6734000055585,2144.6734000055585,2144.6734000055585,163823.0,0.16037012301683967,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,7,1,2100,1220.2657571407533,19.0394999954151,2144.6734000055585,49115.71428571428,1.1225908611178776,0.16037012301683967,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
