Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7,0,14,17.83919999849916,8.25319999421481,41.28309999941848,90509.0,0.11938480092945704,0.0,14,18,22,22,41,41,41,41,41,41,41
GET,/api/checklists,4,0,11,13.200299999880372,10.242300006211735,18.671600002562627,1317.0,0.06821988624540402,0.0,13,13,19,19,19,19,19,19,19,19,19
GET,/api/checklists/1/lock,2,2,2100,2199.4366500002798,2072.4297999986447,2326.443500001915,22.0,0.03410994312270201,0.03410994312270201,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
PUT,/api/doc/{id}/lock [PUT heartbeat],2,2,7.298399999854155,1166.3558500004,7.298399999854155,2325.413300000946,22.0,0.03410994312270201,0.03410994312270201,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/api/events,12,0,15,15.59540833356247,12.629099990590475,23.857699998188764,4660.083333333333,0.20465965873621209,0.0,15,15,17,17,18,24,24,24,24,24,24
POST,/api/events [POST],47,0,13,14.578057447463234,10.030200006440282,55.6456999911461,11.0,0.8015836633834973,0.0,13,14,14,15,18,24,56,56,56,56,56
DELETE,/api/events/{id} [DELETE],46,0,2100,2102.913943478716,2066.2980000051903,2310.6316000048537,11.0,0.7845286918221462,0.0,2100,2100,2100,2100,2100,2200,2300,2300,2300,2300,2300
PUT,/api/events/{id} [PUT],47,47,15,16.519693616267414,9.480499997152947,32.97220000240486,21.0,0.8015836633834973,0.8015836633834973,15,16,19,22,26,30,33,33,33,33,33
GET,/api/kanban,13,0,11,11.669069231944517,7.2475000051781535,27.31089999724645,5071.615384615385,0.22171463029756308,0.0,11,11,12,13,13,27,27,27,27,27,27
GET,/api/notifications/count,6,0,2356.1504000099376,2349.450750002385,2336.8438000034075,2356.1504000099376,11.0,0.10232982936810604,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/api/notifications/pending,6,0,2330.973999996786,2356.5970666653207,2330.973999996786,2415.940499995486,2.0,0.10232982936810604,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
POST,/api/upload/image [POST],13,13,9,9.508430767499913,6.027399998856708,18.31319999473635,59.0,0.22171463029756308,0.22171463029756308,9,9,11,12,14,18,18,18,18,18,18
GET,/check,14,0,15,22.173014284427545,9.989900005166419,69.661499990616,179931.0,0.23876960185891408,0.0,18,22,22,32,41,70,70,70,70,70,70
GET,/project-manage,13,0,9,13.715376922986112,7.87250000576023,66.21009999071248,163823.0,0.22171463029756308,0.0,9,10,10,10,12,66,66,66,66,66,66
GET,/trash,10,0,15,13.665350004157517,8.462500001769513,19.003400011570193,103593.0,0.17054971561351007,0.0,15,15,16,18,19,19,19,19,19,19,19
GET,[warmup] cookie check,5,0,2200,2214.2320200044196,2193.8213000103133,2236.4671000104863,163823.0,0.08527485780675503,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
,Aggregated,247,64,15,589.0695194334126,6.027399998856708,2415.940499995486,29422.688259109313,4.212577975653699,1.0915181799264644,15,23,2100,2100,2100,2300,2400,2400,2400,2400,2400
