Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1,0,19.961999991210178,19.961999991210178,19.961999991210178,19.961999991210178,90509.0,0.017145774224334935,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/api/events,2,0,18,21.682300000975374,17.923199993674643,25.441400008276105,3247.0,0.03429154844866987,0.0,25,25,25,25,25,25,25,25,25,25,25
POST,/api/events [POST],12,0,12,16.716874998868054,9.522499996819533,33.64210001018364,11.0,0.20574929069201922,0.0,14,15,22,22,31,34,34,34,34,34,34
DELETE,/api/events/{id} [DELETE],12,0,2100,2086.8789083324373,2058.27649999992,2114.852900005644,11.0,0.20574929069201922,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
PUT,/api/events/{id} [PUT],12,12,13,15.235083332906166,11.291800008621067,24.556600008509122,21.0,0.20574929069201922,0.20574929069201922,13,15,19,19,20,25,25,25,25,25,25
GET,/api/kanban,2,0,8.121999999275431,8.920100000977982,8.121999999275431,9.718200002680533,3462.0,0.03429154844866987,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/notifications/count,1,0,2121.803000001819,2121.803000001819,2121.803000001819,2121.803000001819,11.0,0.017145774224334935,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/notifications/pending,1,0,2121.342900005402,2121.342900005402,2121.342900005402,2121.342900005402,2.0,0.017145774224334935,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/api/upload/image [POST],2,2,10,64.59014999563806,9.752300000400282,119.42799999087583,59.0,0.03429154844866987,0.03429154844866987,120,120,120,120,120,120,120,120,120,120,120
GET,/check,2,0,18,18.057600005704444,17.90590000746306,18.209300003945827,179931.0,0.03429154844866987,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/project-manage,3,0,31,31.643233334762044,13.280200000735931,50.15819999971427,163823.0,0.051437322673004805,0.0,31,31,50,50,50,50,50,50,50,50,50
GET,/trash,2,0,11.022999999113381,13.290800001414027,11.022999999113381,15.558600003714673,103593.0,0.03429154844866987,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,[warmup] cookie check,1,0,2137.1773999999277,2137.1773999999277,2137.1773999999277,2137.1773999999277,163823.0,0.017145774224334935,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,53,14,18,607.0616471694831,8.121999999275431,2137.1773999999277,25036.11320754717,0.9087260338897516,0.2400408391406891,18,31,2100,2100,2100,2100,2100,2100,2100,2100,2100
