Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20,0,13,14.33452499913983,9.456800005864352,36.629800000810064,90509.0,0.33663919184197916,0.0,13,14,14,15,29,37,37,37,37,37,37
GET,/api/checklists,9,0,12,15.388422220389153,9.48830001289025,40.70079998928122,1317.0,0.15148763632889062,0.0,12,13,14,16,41,41,41,41,41,41,41
GET,/api/checklists/1/lock,6,6,17,1291.7506666635745,11.411899991799146,2591.7302000016207,22.0,0.10099175755259375,0.10099175755259375,2500,2500,2600,2600,2600,2600,2600,2600,2600,2600,2600
PUT,/api/doc/{id}/lock [PUT heartbeat],6,6,2100,1580.5200166602542,8.534499997040257,2555.366699991282,22.0,0.10099175755259375,0.10099175755259375,2200,2200,2500,2500,2600,2600,2600,2600,2600,2600,2600
GET,/api/events,26,0,14,21.38253461621039,11.018199991667643,73.41660000383854,7223.2692307692305,0.4376309493945729,0.0,15,20,21,25,39,49,73,73,73,73,73
POST,/api/events [POST],99,0,12,14.458826262265152,8.689599999343045,53.983800011337735,11.0,1.666363999617797,0.0,12,14,15,17,23,25,29,54,54,54,54
DELETE,/api/events/{id} [DELETE],96,0,2100,2096.6500135424817,2062.4664000060875,2579.7237000078894,11.0,1.6158681208415,0.0,2100,2100,2100,2100,2100,2100,2600,2600,2600,2600,2600
PUT,/api/events/{id} [PUT],99,99,13,15.616057574986527,9.74520000454504,57.64879999333061,21.0,1.666363999617797,1.666363999617797,13,15,16,17,25,30,33,58,58,58,58
GET,/api/kanban,26,0,10,12.249430771379803,6.681800005026162,30.94989999954123,8290.846153846154,0.4376309493945729,0.0,10,11,13,14,21,29,31,31,31,31,31
GET,/api/notifications/count,13,0,2500,2309.3767769236224,38.12789999938104,2573.476399993524,11.0,0.21881547469728646,0.0,2500,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/notifications/pending,13,0,2572.972000009031,2529.3372461545423,2231.5328999975463,2572.972000009031,2.0,0.21881547469728646,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
POST,/api/upload/image [POST],33,33,9,26.217439394465394,6.202599994139746,348.85629999917,59.0,0.5554546665392657,0.5554546665392657,9,10,18,27,40,90,350,350,350,350,350
GET,/calendar,5,0,13,14.710960001684725,10.62909999745898,23.417499993229285,107845.0,0.08415979796049479,0.0,13,15,15,23,23,23,23,23,23,23,23
GET,/check,20,0,13,14.779444997839164,9.924099998897873,32.45129999413621,179931.0,0.33663919184197916,0.0,14,16,16,16,18,32,32,32,32,32,32
GET,/project-manage,12,0,11,49.29225000038665,8.404799998970702,351.8991000019014,163823.0,0.2019835151051875,0.0,13,22,42,42,80,350,350,350,350,350,350
GET,/trash,21,0,11,13.220519047102979,8.428500004811212,24.212000003899448,103593.0,0.35347115143407815,0.0,11,13,15,16,23,23,24,24,24,24,24
GET,[warmup] cookie check,10,0,2296.4565999864135,2266.0466100016492,2220.7921000081114,2296.4565999864135,163823.0,0.16831959592098958,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
,Aggregated,514,144,14,604.000509338447,6.202599994139746,2591.7302000016207,23636.980544747083,8.651627230338866,2.42380218126225,15,25,2100,2100,2100,2500,2600,2600,2600,2600,2600
