Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,21,0,16,888.371490476337,10.206100007053465,8563.829699996859,90509.0,0.3738029778904778,0.0,16,42,680,820,2700,4700,8600,8600,8600,8600,8600
GET,/api/checklists,12,0,11,365.29607499808964,10.600800000247546,4219.653499996639,1317.0,0.21360170165170161,0.0,12,14,22,22,35,4200,4200,4200,4200,4200,4200
GET,/api/checklists/1/lock,26,26,8000,7856.239007693568,14.994700002716854,10041.492600008496,22.0,0.4628036869120201,0.4628036869120201,8000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
PUT,/api/doc/{id}/lock [PUT heartbeat],26,26,8000,7472.928292307747,9.070200001588091,10029.196900009993,22.0,0.4628036869120201,0.4628036869120201,8000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,/api/events,39,0,23,367.309089742589,11.681999996653758,4690.279000002192,13429.615384615385,0.6942055303680302,0.0,23,31,80,100,930,3800,4700,4700,4700,4700,4700
POST,/api/events [POST],157,0,15,232.2069707006449,5.338900009519421,4360.2499999979045,11.0,2.7946222632764295,0.0,15,24,34,56,410,450,4300,4300,4400,4400,4400
DELETE,/api/events/{id} [DELETE],142,0,2100,4498.274826760524,2068.287000001874,11318.391199994949,11.0,2.5276201362118025,0.0,2100,6300,7600,7700,10000,11000,11000,11000,11000,11000,11000
PUT,/api/events/{id} [PUT],157,157,21,85.89750573270402,10.378799997852184,1081.6499999928055,21.0,2.7946222632764295,2.7946222632764295,21,30,39,49,410,430,520,780,1100,1100,1100
GET,/api/kanban,35,0,22,1258.5681057148447,6.75089999276679,9299.564799992368,17347.714285714286,0.6230049631507963,0.0,22,120,910,4400,4500,8600,9300,9300,9300,9300,9300
GET,/api/notifications/count,63,0,8000,7702.996409524256,2916.9288000121014,8032.170499995118,11.0,1.1214089336714335,0.0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/notifications/pending,63,0,7900,7687.315674602389,2928.214500003378,8028.152200000477,2.0,1.1214089336714335,0.0,7900,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
POST,/api/upload/image [POST],59,59,84,1154.0585932212337,22.30240000062622,9937.764000002062,58.0,1.0502083664541995,1.0502083664541995,84,390,1000,1400,5800,9100,9500,9900,9900,9900,9900
GET,/calendar,13,0,13,659.4048307709343,7.753700003377162,4248.514700011583,107845.0,0.23140184345601006,0.0,13,43,150,850,3200,4200,4200,4200,4200,4200,4200
GET,/check,47,0,27,1020.8762638296243,9.860699996352196,9261.517400009325,179931.0,0.8366066648024979,0.0,27,47,870,930,4300,5300,9300,9300,9300,9300,9300
GET,/project-manage,31,0,40,1274.3487451633912,7.4977000040235,8890.090600005351,163823.0,0.5518043959335625,0.0,40,620,900,920,4400,8200,8900,8900,8900,8900,8900
GET,/trash,20,0,17,615.7600100013951,7.957900001201779,4660.848599989549,103593.0,0.35600283608616934,0.0,19,47,580,910,4400,4700,4700,4700,4700,4700,4700
GET,[warmup] cookie check,50,0,3900,4011.1973739994573,3850.428899997496,4359.912200001418,163823.0,0.8900070902154233,0.0,3900,4100,4100,4100,4300,4400,4400,4400,4400,4400,4400
,Aggregated,961,268,370,2617.35953787735,5.338900009519421,11318.391199994949,29406.50780437045,17.105936273940436,4.770438003554669,370,2200,4400,7700,8000,8800,10000,11000,11000,11000,11000
