Method,Name,Error,Occurrences
POST,/api/upload/image [POST],"SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:2427)')",1
GET,/api/checklists/1/lock,HTTPError('404 Client Error: Not Found for url: /api/checklists/1/lock'),26
POST,/api/upload/image [POST],HTTPError('400 Client Error: Bad Request for url: /api/upload/image [POST]'),58
PUT,/api/events/{id} [PUT],HTTPError('500 Server Error: Internal Server Error for url: /api/events/{id} [PUT]'),157
PUT,/api/doc/{id}/lock [PUT heartbeat],HTTPError('404 Client Error: Not Found for url: /api/doc/{id}/lock [PUT heartbeat]'),26
